Date,JD,averagemag
2019-05-30 16:49:24,2458634.20097,15.77
2019-08-15 01:42:55,2458710.57147,15.76
2019-08-15 05:56:35,2458710.74763,15.76
2019-08-15 07:43:10,2458710.82164,15.78
2019-08-15 11:56:50,2458710.99780,15.76
2019-08-15 13:43:24,2458711.07181,15.77
2019-08-15 17:57:05,2458711.24797,15.80
2019-08-15 19:43:39,2458711.32198,15.78
2019-08-15 23:57:19,2458711.49814,15.75
2019-08-16 01:43:54,2458711.57215,15.74
2019-08-16 05:57:34,2458711.74831,15.78
2019-08-23 18:05:32,2458719.25384,15.75
2019-08-24 00:05:47,2458719.50402,15.75
2019-08-24 01:52:46,2458719.57831,null
2019-08-24 06:06:02,2458719.75419,15.78
2019-08-24 07:52:37,2458719.82821,15.77
2019-08-24 12:06:17,2458720.00436,15.77
2019-08-24 13:52:52,2458720.07838,15.75
2019-08-24 18:06:32,2458720.25454,15.78
2019-08-24 19:53:06,2458720.32854,15.72
2019-10-09 21:47:29,2458766.40797,null
2019-11-11 09:34:13,2458798.89876,15.74
2019-11-11 11:20:48,2458798.97278,15.76
2019-12-02 04:18:29,2458819.67950,15.81
2020-03-05 00:07:02,2458913.50488,15.77
2020-03-20 16:44:34,2458929.19762,15.77
2020-06-01 09:51:57,2459001.91108,15.79
2020-06-01 14:05:36,2459002.08722,15.79
2020-06-01 15:52:10,2459002.16123,15.76
2020-06-22 20:35:37,2459023.35807,15.80
2020-06-22 22:22:10,2459023.43206,15.77
2020-08-28 12:49:48,2459090.03458,15.75
2020-08-28 14:36:23,2459090.10860,null
2020-09-09 12:57:25,2459102.03987,15.78
2020-09-09 14:44:00,2459102.11389,15.76
2020-10-19 00:03:02,2459141.50211,15.78
2020-10-19 01:49:36,2459141.57611,15.75
2020-11-18 11:46:15,2459171.99045,15.77
2020-11-18 13:32:50,2459172.06447,15.75
2020-12-12 13:34:53,2459196.06589,15.77
2020-12-12 17:48:34,2459196.24206,15.78
2020-12-12 19:35:08,2459196.31606,15.73
2021-02-10 17:42:35,2459256.23791,15.74
2021-02-10 23:42:49,2459256.48807,15.73
2021-02-11 01:29:23,2459256.56207,15.74
2021-02-11 05:43:03,2459256.73823,15.73
2021-02-11 07:29:37,2459256.81223,15.73
2021-02-11 11:43:16,2459256.98838,15.75
2021-02-11 13:29:50,2459257.06238,15.75
2021-02-11 19:30:04,2459257.31255,15.73
2021-02-19 07:36:16,2459264.81685,15.75
2021-02-19 11:49:55,2459264.99300,15.75
2021-02-19 13:36:29,2459265.06700,15.73
2021-02-19 17:50:08,2459265.24315,15.72
2021-02-19 19:36:42,2459265.31715,15.72
2021-02-19 23:50:22,2459265.49331,15.73
2021-02-20 01:36:56,2459265.56731,15.75
2021-02-20 05:50:35,2459265.74346,15.74
2021-04-06 05:23:11,2459310.72443,15.74
2021-04-06 07:09:45,2459310.79844,15.72
2021-05-09 10:51:25,2459343.95237,15.71
2021-05-31 04:47:37,2459365.69973,15.71
2021-09-07 13:48:43,2459465.07550,15.66
2021-09-07 15:35:18,2459465.14951,15.67
2021-09-23 13:54:37,2459481.07959,15.64
2021-09-23 15:41:12,2459481.15361,15.66
2021-10-30 02:58:39,2459517.62406,untrusted
2021-12-03 18:50:16,2459552.28491,15.44
2021-12-03 20:36:51,2459552.35892,15.45
2021-12-23 14:45:53,2459572.11520,15.32
2021-12-23 18:59:33,2459572.29135,15.33
2021-12-23 20:46:08,2459572.36537,15.32

